Module,oBDS_Item,completeness,agreement,quality,n_coders,interpretation,n_unique_codes,most_common_code
Modul 5,Item_0,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,439401001
Modul 5,Item_1,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,363346000
Modul 5,Item_2,0.0,,0.0,0,No codes provided,,
Modul 5,Item_3,0.5,1.0,0.5,2,Perfect agreement but incomplete,1.0,900000000000465000
Modul 5,Item_4,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,399687005
Modul 5,Item_5,0.0,,0.0,0,No codes provided,,
Modul 5,Item_6,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,432213005
Modul 5,Item_7,0.75,1.0,0.75,3,Perfect agreement but incomplete,1.0,373793006
Modul 5,Item_8,1.0,0.5,0.5,4,Complete but disputed,2.0,58147004
Modul 5,Item_9,1.0,0.5,0.5,4,Complete but disputed,3.0,373796003
Modul 5,Item_10,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,363680008
Modul 5,Item_11,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,423827005
Modul 5,Item_12,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,363679005
Modul 5,Item_13,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,16310003
Modul 5,Item_14,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,122458006
Modul 5,Item_15,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,373797007
Modul 5,Item_16,1.0,0.5,0.5,4,Complete but disputed,2.0,702666009
Modul 5,Item_17,1.0,0.5,0.5,4,Complete but disputed,3.0,373799005
Modul 5,Item_18,1.0,0.5,0.5,4,Complete but disputed,3.0,373800009
Modul 5,Item_19,1.0,0.5,0.5,4,Complete but disputed,3.0,371480007
Modul 5,Item_20,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,7771000
Modul 5,Item_21,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,24028007
Modul 5,Item_22,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,51440002
Modul 5,Item_23,1.0,0.5,0.5,4,Complete but disputed,3.0,255561001
Modul 5,Item_24,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,261665006
Modul 5,Item_25,1.0,0.5,0.5,4,Complete but disputed,2.0,396360001
Modul 5,Item_26,1.0,0.5,0.5,4,Complete but disputed,3.0,275904003
Modul 6,Item_27,1.0,0.25,0.25,4,Complete but disputed,4.0,714797009
Modul 6,Item_28,0.75,1.0,0.75,3,Perfect agreement but incomplete,1.0,439272007
Modul 6,Item_29,0.25,1.0,0.25,1,Single code (no validation),,
Modul 6,Item_30,0.0,,0.0,0,No codes provided,,
Modul 6,Item_31,0.0,,0.0,0,No codes provided,,
Modul 6,Item_32,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,900000000000465000
Modul 6,Item_33,1.0,0.25,0.25,4,Complete but disputed,4.0,373372005
Modul 6,Item_34,0.25,1.0,0.25,1,Single code (no validation),,
Modul 6,Item_35,1.0,0.5,0.5,4,Complete but disputed,3.0,263933003
Modul 6,Item_36,1.0,0.5,0.5,4,Complete but disputed,3.0,384812005
Modul 6,Item_37,1.0,0.5,0.5,4,Complete but disputed,3.0,263843001
Modul 6,Item_38,1.0,0.5,0.5,4,Complete but disputed,3.0,263918006
Modul 6,Item_39,0.75,0.3333333333333333,0.25,3,Low quality,3.0,911753521000004108
Modul 6,Item_40,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,1155705000
Modul 6,Item_41,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,1155708003
Modul 6,Item_42,0.75,1.0,0.75,3,Perfect agreement but incomplete,1.0,1286893008
Modul 6,Item_43,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,1155707008
Modul 6,Item_44,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,1268929003
Modul 6,Item_45,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,261665006
Modul 6,Item_46,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,385432009
Modul 6,Item_47,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,444025001
Modul 6,Item_48,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,443527007
